dataset_id	recommendation	topic	license	producer	local_evidence	rationale
53699541a3a729239d204686	APPROVE	budget-etat	lov2	Ministères économiques et financiers	2 fichiers; champs ministère, programme, action, titres et total	Données budgétaires administratives agrégées; aucun identifiant de personne observé.
53699543a3a729239d20468b	APPROVE	budget-etat	lov2	Ministères économiques et financiers	2 fichiers; champs mission, programme, action, titres et total	Données budgétaires administratives agrégées; aucun identifiant de personne observé.
53699544a3a729239d20468d	APPROVE	budget-etat	lov2	Ministères économiques et financiers	2 fichiers; champs ministère, programme, action, titres et total	Données budgétaires administratives agrégées; aucun identifiant de personne observé.
53699545a3a729239d20468e	APPROVE	budget-etat	lov2	Ministères économiques et financiers	2 fichiers; champs mission, programme, action, titres et total	Données budgétaires administratives agrégées; aucun identifiant de personne observé.
53699545a3a729239d20468f	APPROVE	budget-etat	lov2	Ministères économiques et financiers	2 fichiers; champs mission, programme, action, catégorie et valeur	Données budgétaires administratives agrégées; aucun identifiant de personne observé.
53699545a3a729239d204690	APPROVE	budget-etat	lov2	Ministères économiques et financiers	2 fichiers; champs mission, programme, action, titres et total	Données budgétaires administratives agrégées; aucun identifiant de personne observé.
53699546a3a729239d204691	APPROVE	budget-etat	lov2	Ministères économiques et financiers	2 fichiers; champs mission, programme, action, catégorie, AE et CP	Données budgétaires administratives agrégées; aucun identifiant de personne observé.
53699546a3a729239d204692	APPROVE	budget-etat	lov2	Ministères économiques et financiers	2 fichiers; champs ministère, programme, action, titres et total	Données budgétaires administratives agrégées; aucun identifiant de personne observé.
53699546a3a729239d204693	APPROVE	budget-etat	fr-lo	Ministères économiques et financiers	1 fichier; champs mission, programme, action, titres et total	Données budgétaires administratives agrégées; aucun identifiant de personne observé.
53699547a3a729239d204694	APPROVE	budget-etat	lov2	Ministères économiques et financiers	2 fichiers; champs ministère, programme, action, titres et total	Données budgétaires administratives agrégées; aucun identifiant de personne observé.
