dataset_id	recommendation	current_status	title	producer	license	files	sampled_files	inspected_units	signals	rationale
53698e13a3a729239d203389	APPROVE	REVIEW_PERSONAL_DATA	2013-115 - Les acquisitions de la nationalité française selon la modalité d’acquisition	Ministère de l'intérieur	fr-lo	1	1	0		aucun signal direct dans les noms et échantillons inspectés
53698e6aa3a729239d203466	HOLD	REVIEW_PERSONAL_DATA	Activité productrice des entreprises	Institut national de la statistique et des études économiques (Insee)	fr-lo	1	1	1	contact,phone	signal direct à examiner : contact,phone
53698e76a3a729239d203485	APPROVE	REVIEW_PERSONAL_DATA	Adhésion des communes à un établissement public de coopération intercommunale (EPCI) à fiscalité propre en France métropolitaine et Dom	Ministère de l'intérieur	fr-lo	16	16	0		aucun signal direct dans les noms et échantillons inspectés
53698e7ca3a729239d20349e	HOLD	REVIEW_PERSONAL_DATA	Adresses géographiques et téléphoniques des centres d'information et de recrutement des forces armées (CIRFA)	Ministère des Armées	fr-lo	1	1	0	address,phone	signal direct à examiner : address,phone
53698ee1a3a729239d2035bc	HOLD	REVIEW_PERSONAL_DATA	Tableaux Statistiques de la Direction Générale des Finances Publiques (DGFiP)	Ministères économiques et financiers	fr-lo	17	17	24	address	signal direct à examiner : address
53698f1aa3a729239d203653	HOLD	REVIEW_PERSONAL_DATA	Associations Reconnues d'Utilité Publique	Ministère de l'intérieur	fr-lo	9	9	46	address,contact,phone	signal direct à examiner : address,contact,phone
53698f4ca3a729239d2036df	HOLD	REVIEW_PERSONAL_DATA	Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2024	Ministère de l'intérieur	fr-lo	106	20	18	health_id,partial_file_sample	signal direct à examiner : health_id,partial_file_sample
53698f4ea3a729239d2036ee	HOLD	REVIEW_PERSONAL_DATA	Base de données des obligations d'information pesant sur les entreprises	Premier ministre	fr-lo	1	1	9	address,contact,phone	signal direct à examiner : address,contact,phone
5369904fa3a729239d20398b	EXCLUDE	REVIEW_MISSING_FILES	Causes de décès par sexe et âge de 1925 à 1999	Ined	fr-lo	0	0	0		aucun fichier local complet à diffuser
53699109a3a729239d203b60	HOLD	REVIEW_PERSONAL_DATA	Commission pour l'indemnisation des victimes de spoliations - Chiffres clés	Premier ministre	fr-lo	126	20	0	partial_file_sample	signal direct à examiner : partial_file_sample
53699260a3a729239d203ee9	APPROVE	REVIEW_PERSONAL_DATA	Démographie des entreprises	Institut national de la statistique et des études économiques (Insee)	fr-lo	2	2	2		aucun signal direct dans les noms et échantillons inspectés
5369928ea3a729239d203f64	APPROVE	REVIEW_PERSONAL_DATA	Dépenses des administrations publiques par fonction de dépense	Ministère des Armées	fr-lo	1	1	0		aucun signal direct dans les noms et échantillons inspectés
536992d0a3a729239d20400d	HOLD	REVIEW_PERSONAL_DATA	Description des emplois privés et publics et des salaires	Institut national de la statistique et des études économiques (Insee)	fr-lo	7	7	7	address,contact,health_id,phone	signal direct à examiner : address,contact,health_id,phone
5369931ca3a729239d2040d1	HOLD	REVIEW_PERSONAL_DATA	Anciennes données carroyées à 200 m sur la population	Institut national de la statistique et des études économiques (Insee)	fr-lo	3	3	3	address,contact,phone	signal direct à examiner : address,contact,phone
53699327a3a729239d2040f6	APPROVE	REVIEW_PERSONAL_DATA	Données de l’Institut de Veille Sanitaire sur la surveillance liée au syndrome grippal	OpenHealth Company	odc-odbl	4	4	22		aucun signal direct dans les noms et échantillons inspectés
5369932fa3a729239d20410c	HOLD	REVIEW_PERSONAL_DATA	Données géocodées des structures de la Justice	Ministère de la Justice	fr-lo	6	6	4	address,contact	signal direct à examiner : address,contact
53699373a3a729239d2041c4	APPROVE	REVIEW_PERSONAL_DATA	Effectifs d’étudiants inscrits dans les établissements et les formations de l’enseignement supérieur	Ministère de l'Enseignement supérieur, de la Recherche et de l'Espace	fr-lo	3	3	3		aucun signal direct dans les noms et échantillons inspectés
53699373a3a729239d2041c5	APPROVE	REVIEW_PERSONAL_DATA	Effectifs d’étudiants inscrits dans les établissements et les formations de l’enseignement supérieur	Ministère de l'Enseignement supérieur, de la Recherche et de l'Espace	fr-lo	3	3	3		aucun signal direct dans les noms et échantillons inspectés
53699374a3a729239d2041cc	HOLD	REVIEW_PERSONAL_DATA	Effectifs d'étudiants inscrits dans les établissements publics sous tutelle du ministère en charge de l’Enseignement supérieur et de la Recherche	Ministère de l'Enseignement supérieur, de la Recherche et de l'Espace	fr-lo	4	4	4	contact,email,phone	signal direct à examiner : contact,email,phone
53699434a3a729239d2043b3	HOLD	REVIEW_PERSONAL_DATA	Activité emploi et chômage - enquête emploi en continu	Institut national de la statistique et des études économiques (Insee)	fr-lo	11	11	11	contact,phone	signal direct à examiner : contact,phone
53699504a3a729239d2045bb	APPROVE	REVIEW_PERSONAL_DATA	Etude 2008 Evénement de vie : Entreprises	Premier ministre	fr-lo	3	3	11		aucun signal direct dans les noms et échantillons inspectés
53699506a3a729239d2045bd	APPROVE	REVIEW_PERSONAL_DATA	Etude 2010 Evénement de vie : Entreprises	Premier ministre	fr-lo	3	3	2		aucun signal direct dans les noms et échantillons inspectés
53699538a3a729239d20466d	APPROVE	REVIEW_PERSONAL_DATA	Evolution des recrutements de civils sur 24 ans	Ministère des Armées	fr-lo	1	1	0		aucun signal direct dans les noms et échantillons inspectés
53699578a3a729239d204722	HOLD	REVIEW_REQUIRED	Faits constatés Zone Police	Observatoire national de la délinquance et des réponses pénales (ondrp)	fr-lo	3	3	14	address	signal direct à examiner : address
53699643a3a729239d20494b	HOLD	REVIEW_PERSONAL_DATA	Immigrés et descendants d'immigrés en France	Institut national de la statistique et des études économiques (Insee)	fr-lo	1	1	1	contact,phone	signal direct à examiner : contact,phone
5369965fa3a729239d204999	APPROVE	REVIEW_PERSONAL_DATA	Impôts locaux	Ministères économiques et financiers	lov2	19	19	1		aucun signal direct dans les noms et échantillons inspectés
53699721a3a729239d204bf6	APPROVE	REVIEW_PERSONAL_DATA	Insertion professionnelle des diplômés de Master en universités et établissements assimilés	Ministère de l'Enseignement supérieur, de la Recherche et de l'Espace	fr-lo	3	3	3		aucun signal direct dans les noms et échantillons inspectés
53699736a3a729239d204c29	HOLD	REVIEW_PERSONAL_DATA	Interventions réalisées par les services d'incendie et de secours	Ministère de l'intérieur	fr-lo	17	17	17	address	signal direct à examiner : address
5369978fa3a729239d204d11	HOLD	REVIEW_REQUIRED	Journées européennes du patrimoine	Ministère de la Culture	fr-lo	11	11	18	address,birth,contact,email,phone	signal direct à examiner : address,birth,contact,email,phone
53699794a3a729239d204d1e	HOLD	REVIEW_PERSONAL_DATA	La Base Économique des Entreprises Régionales	Ministère de l'Economie, de l'Industrie et du Numérique	lov2	6	6	42	contact	signal direct à examiner : contact
536997fea3a729239d204e35	APPROVE	REVIEW_REQUIRED	Les commerces par commune ou arrondissement (base permanente des équipements)	Région Île-de-France	fr-lo	4	4	3		aucun signal direct dans les noms et échantillons inspectés
53699836a3a729239d204eca	APPROVE	REVIEW_PERSONAL_DATA	les entreprises et fédération partenaires 2012	Ministère des Armées	fr-lo	1	1	0		aucun signal direct dans les noms et échantillons inspectés
53699837a3a729239d204ecb	APPROVE	REVIEW_REQUIRED	Les équipements dans le domaine du tourisme et du transport (base permanente des équipements)	Région Île-de-France	fr-lo	4	4	3		aucun signal direct dans les noms et échantillons inspectés
53699840a3a729239d204ee5	APPROVE	REVIEW_REQUIRED	Les étudiants des filières d’ingénieurs	Ministères de l'Éducation nationale	fr-lo	9	9	0		aucun signal direct dans les noms et échantillons inspectés
53699841a3a729239d204ee9	APPROVE	REVIEW_REQUIRED	Les étudiants étrangers dans l’enseignement supérieur	Ministère de l'Enseignement supérieur, de la Recherche et de l'Espace	fr-lo	3	3	0		aucun signal direct dans les noms et échantillons inspectés
5369986ba3a729239d204f55	HOLD	REVIEW_REQUIRED	Police municipale : Effectifs par commune	Ministère de l'intérieur	fr-lo	12	12	76	address,contact,email,first_name,phone	signal direct à examiner : address,contact,email,first_name,phone
5369987da3a729239d204f92	APPROVE	REVIEW_PERSONAL_DATA	Les services aux particuliers par commune ou arrondissement (base permanente des équipements)	Région Île-de-France	fr-lo	4	4	3		aucun signal direct dans les noms et échantillons inspectés
5369987da3a729239d204f93	APPROVE	REVIEW_PERSONAL_DATA	Les services de santé par commune ou par arrondissement (base permanente des équipements)	Région Île-de-France	fr-lo	4	4	3		aucun signal direct dans les noms et échantillons inspectés
536998eba3a729239d2050c2	HOLD	REVIEW_REQUIRED	Liste des collèges de la gironde	Conseil Départemental de la Gironde	odc-odbl	2	2	2	address,contact	signal direct à examiner : address,contact
5369993fa3a729239d2051cd	HOLD	REVIEW_PERSONAL_DATA	Liste des unités de gendarmerie accueillant du public, comprenant leur géolocalisation et leurs horaires d'ouverture	Ministère de l'intérieur	fr-lo	2	2	2	address,phone	signal direct à examiner : address,phone
