dataset_id	recommendation	current_status	title	producer	license	files	sampled_files	inspected_units	signals	rationale
6a11bacd77a67baa26b8cecd	HOLD	REVIEW_REQUIRED	Catalogue topic univers-culture-deps	Ministère de la Culture	lov2	2	2	2	address,contact,email	signal direct à examiner : address,contact,email
6a339e7910e4a8ab2d7d229e	APPROVE	REVIEW_REQUIRED	Archives annuelles des observations navires	Météo-France	lov2	10	10	1		aucun signal direct dans les noms et échantillons inspectés
6a39cee98ea7947128467384	HOLD	REVIEW_REQUIRED	Bassins versant topographiques - Métropole 2026 - BD Topage®	Système d'Information sur l'Eau	lov2	11	11	4	address,contact,email,phone	signal direct à examiner : address,contact,email,phone
6a3f1b28e00747006c54d32a	HOLD	REVIEW_REQUIRED	Secteurs hydrographiques de gestion de la sécheresse dans le département des Bouches-du-Rhône	Direction Départementale des Territoires et de la Mer des Bouches-du-Rhône	lov2	1	1	1	contact,phone	signal direct à examiner : contact,phone
6a430a71994f73a50d54d370	APPROVE	REVIEW_REQUIRED	Population active selon l’âge détaillé – Données détaillées (ACT1)	Institut national de la statistique et des études économiques (Insee)	lov2	1	1	1		aucun signal direct dans les noms et échantillons inspectés
6a430a72994f73a50d54d374	EXCLUDE	REVIEW_MISSING_FILES	Diplômes et Formation – Données détaillées (FOR2)	Institut national de la statistique et des études économiques (Insee)	lov2	0	0	0		aucun fichier local complet à diffuser
6a430a74994f73a50d54d378	APPROVE	REVIEW_REQUIRED	Emploi au lieu de travail selon la forme d’emploi et le temps de travail – Données détaillées (EMP4)	Institut national de la statistique et des études économiques (Insee)	lov2	1	1	1		aucun signal direct dans les noms et échantillons inspectés
6a430a78994f73a50d54d382	APPROVE	REVIEW_PERSONAL_DATA	Population des ménages selon le mode de cohabitation – Données détaillées (MEN7)	Institut national de la statistique et des études économiques (Insee)	lov2	1	1	1		aucun signal direct dans les noms et échantillons inspectés
6a430a79994f73a50d54d383	APPROVE	REVIEW_PERSONAL_DATA	Ménages selon la taille du ménage – Données détaillées (MEN4)	Institut national de la statistique et des études économiques (Insee)	lov2	1	1	1		aucun signal direct dans les noms et échantillons inspectés
6a430a79994f73a50d54d384	APPROVE	REVIEW_PERSONAL_DATA	Ménages selon la PCS de la personne de référence – Données détaillées (MEN1 et MEN2)	Institut national de la statistique et des études économiques (Insee)	lov2	1	1	1		aucun signal direct dans les noms et échantillons inspectés
6a430a79994f73a50d54d385	APPROVE	REVIEW_PERSONAL_DATA	Ménages selon l’âge de la personne de référence et le type de ménage – Données détaillées (MEN5 et MEN6)	Institut national de la statistique et des études économiques (Insee)	lov2	1	1	1		aucun signal direct dans les noms et échantillons inspectés
6a430a7b994f73a50d54d38a	APPROVE	REVIEW_REQUIRED	Population détaillée par sexe, âge et nationalité - Données détaillées (NAT1)	Institut national de la statistique et des études économiques (Insee)	lov2	1	1	1		aucun signal direct dans les noms et échantillons inspectés
6a430a7c994f73a50d54d38c	HOLD	REVIEW_REQUIRED	Déplacements domicile-travail selon le sexe et l’âge – Données détaillées (NAV1)	Institut national de la statistique et des études économiques (Insee)	lov2	1	1	1	address	signal direct à examiner : address
